Key,t50
0.01nM-seeds,6.9367394520227394
0.1nM-seeds,6.832281624105743
1nM-seeds,6.701789538806273
5nM-seeds,6.263199178778516
10nM-seeds,5.846661884043221
50nM-seeds,4.455173695982889
BLB,7.459664834317057
Agg-bu,7.00393335557249
WT-NB1,6.930316644800219
WT-NB2,6.98186988024122
WT-NB3,7.107014895068645
WT-NB4,6.82657396382476
WT-delta-intron-NB41,6.857120868449814
WT-delta-intron-NB42,7.085354349569759
WT-delta-intron-NB43,7.041270742886052
WT-delta-intron-NB44,7.136249140443385
HdhQ150-NB-61,6.926356097762716
HdhQ150-NB-62,6.8950022572909635
HdhQ150-NB-63,6.835915031614095
HdhQ150-NB-64,6.947122792579858
Q150delta-intron-NB21,7.024539279167946
Q150delta-intron-NB22,7.144751071668647
Q150delta-intron-NB23,6.855205438085182
Q150delta-intron-NB24,7.025652968383723
WT-2w-5,6.912178105790587
WT-2w-6,6.852769100202151
WT-2w-7,6.795630179489458
WT-2w-8,6.7645325866289685
WT-delta-intron-2w-45,6.82153358835329
WT-delta-intron-2w-46,7.0318514159123
WT-delta-intron-2w-47,7.0760435749483985
WT-delta-intron-2w-48,7.059073456423432
HdhQ150-2w-65,6.950791221042866
HdhQ150-2w-66,6.994555163807363
HdhQ150-2w-67,6.904344687609517
HdhQ150-2w-68,7.1287637779842905
Q150delta-intron-2w-25,6.838563777900566
Q150delta-intron-2w-26,6.819553170886892
Q150delta-intron-2w-27,6.912929788844675
Q150delta-intron-2w-28,7.020809478723166
WT-1mon-9,7.116797114553834
WT-1mon-10,7.124981385682581
WT-1mon-11,6.852319589212863
WT-1mon-12,6.991375902933973
WT-delta-intron-1mon-49,6.924633527869778
WT-delta-intron-1mon-50,7.150825134317501
WT-delta-intron-1mon-51,7.047325958126756
WT-delta-intron-1mon-52,7.122823051480999
HdhQ150-1mon-69,7.180512078262787
HdhQ150-1mon-70,7.2175057386874615
HdhQ150-1mon-71,7.177243961099006
HdhQ150-1mon-72,6.993814222366701
Q150delta-intron-1mon-29,7.114994402221077
Q150delta-intron-1mon-30,7.057948138142918
Q150delta-intron-1mon-31,7.140884957439027
Q150delta-intron-1mon-32,7.066451699870884
WT-1.5mon-13,7.204309746079195
WT-1.5mon-14,7.196020630450045
WT-1.5mon-15,7.1273929501825615
WT-1.5mon-16,7.2003879981014975
WT-delta-intron-1.5mon-53,7.09850128572996
WT-delta-intron-1.5mon-54,7.233435901319868
WT-delta-intron-1.5mon-55,7.232580122443372
WT-delta-intron-1.5mon-56,7.186689889449475
HdhQ150-1.5mon-73,7.258738618275285
HdhQ150-1.5mon-74,7.219187464559636
HdhQ150-1.5mon-75,7.17548794379498
HdhQ150-1.5mon-76,7.198490705997718
Q150delta-intron-1.5mon-33,7.154164903961743
Q150delta-intron-1.5mon-34,7.434855217914561
Q150delta-intron-1.5mon-35,7.567831251953724
Q150delta-intron-1.5mon-36,7.685185838033296
WT-6mon-17,7.801208456896016
WT-6mon-18,7.912840478493105
WT-6mon-20,7.680156331095296
WT-delta-intron-6mon-57,7.897690173495197
WT-delta-intron-6mon-58,8.140539950703165
WT-delta-intron-6mon-59,7.87974898311978
WT-delta-intron-6mon-60,7.895460716691796
HdhQ150-6mon-77,7.9579201304217255
HdhQ150-6mon-78,7.7588195216092
HdhQ150-6mon-79,7.924110212527355
HdhQ150-6mon-80,7.9155217765767
Q150delta-intron-6mon-37,9.140692592281916
Q150delta-intron-6mon-38,9.144633146149902
Q150delta-intron-6mon-39,7.099382625122637
Q150delta-intron-6mon-40,7.0455061285977925
